,journal,,,,,,,,,,,,,
0,Stem cells international,,,,,,,,,,,,,3.85
1,International journal of clinical and experimental pathology,,,,,,,,,,,,,0.252
2,Molecular medicine reports,,,,,,,,,,,,,1.88
3,Cancer biomarkers : section A of Disease markers,,,,,,,,,,,,,2.7
4,Medical science monitor : international medical journal of experimental and clinical research,,,,,,,,,,,,,1.91
5,Cancer management and research,,,,,,,,,,,,,2.25
6,Cancer biotherapy & radiopharmaceuticals,,,,,,,,,,,,,2.31
7,Oncology research,,,,,,,,,,,,,4.36
8,Journal of Cancer,,,,,,,,,,,,,3.18
9,American journal of translational research,,,,,,,,,,,,,2.82
10,Biochemical pharmacology,,,,,,,,,,,,,5
11,Scientific reports,,,,,,,,,,,,,3.99
12,Anti-cancer drugs,,,,,,,,,,,,,2.26
13,BMC cancer,,,,,,,,,,,,,3.43
14,Oncotarget,,,,,,,,,,,,,0
15,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,,,,,,,,,,,,,0
16,Molecular cancer research : MCR,,,,,,,,,,,,,4.5
17,PloS one,,,,,,,,,,,,,2.74
18,Cell death & disease,,,,,,,,,,,,,6.28
19,International journal of oncology,,,,,,,,,,,,,3.89
20,Molecular genetics & genomic medicine,,,,,,,,,,,,,1.99
21,Frontiers in pediatrics,,,,,,,,,,,,,2.63
22,Oncology reports,,,,,,,,,,,,,3.42
23,The Journal of pathology,,,,,,,,,,,,,6.02
24,Annals of oncology : official journal of the European Society for Medical Oncology,,,,,,,,,,,,,18.27
25,Bioscience reports,,,,,,,,,,,,,2.89
26,International journal of medical sciences,,,,,,,,,,,,,2.37
27,Veterinary sciences,,,,,,,,,,,,,1.42
28,Carcinogenesis,,,,,,,,,,,,,3.82
29,"Pathology, research and practice",,,,,,,,,,,,,1.8
30,Genetics and molecular biology,,,,,,,,,,,,,2.02
31,Oncogene,,,,,,,,,,,,,7.97
32,American journal of cancer research,,,,,,,,,,,,,5.17
33,ACS nano,,,,,,,,,,,,,14.58
34,Journal of cellular physiology,,,,,,,,,,,,,4.52
35,BMC medical genomics,,,,,,,,,,,,,2.63
36,International journal of molecular sciences,,,,,,,,,,,,,4.55
37,Cancer research,,,,,,,,,,,,,9.13
38,Clinical laboratory,,,,,,,,,,,,,0.94
39,"Artificial cells, nanomedicine, and biotechnology",,,,,,,,,,,,,3.34
40,Archives of biochemistry and biophysics,,,,,,,,,,,,,3.53
41,The International journal of biological markers,,,,,,,,,,,,,1.9
42,"Cell cycle (Georgetown, Tex.)",,,,,,,,,,,,,3.82
43,Cancer medicine,,,,,,,,,,,,,3.46
44,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,,,,,,,,,,,,,4.54
45,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",,,,,,,,,,,,,5.5
46,Gene,,,,,,,,,,,,,2.98
47,OncoTargets and therapy,,,,,,,,,,,,,3.04
48,"Experimental biology and medicine (Maywood, N.J.)",,,,,,,,,,,,,3.15
49,Biochemical and biophysical research communications,,,,,,,,,,,,,2.98
50,Cell journal,,,,,,,,,,,,,38.6
51,Molecular therapy : the journal of the American Society of Gene Therapy,,,,,,,,,,,,,8.4
52,"Medical oncology (Northwood, London, England)",,,,,,,,,,,,,2.91
53,Oncology letters,,,,,,,,,,,,,2.3
54,PloS one,,,,,,,,,,,,,2.74
55,Oncogene,,,,,,,,,,,,,7.97
56,European review for medical and pharmacological sciences,,,,,,,,,,,,,3.02
57,Molecular cancer therapeutics,,,,,,,,,,,,,5.52
58,Connective tissue research,,,,,,,,,,,,,2.79
59,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,,,,,,,,,,,,,2.9
60,Clinical orthopaedics and related research,,,,,,,,,,,,,4.09
61,Cancers,,,,,,,,,,,,,6.12
62,Cancer gene therapy,,,,,,,,,,,,,4.47
63,Leukemia research,,,,,,,,,,,,,2.29
64,Zhongguo shi yan xue ye xue za zhi,,,,,,,,,,,,,0
65,Blood reviews,,,,,,,,,,,,,5.67
66,JCI insight,,,,,,,,,,,,,6.2
67,Medicine,,,,,,,,,,,,,1.5
68,Journal of clinical laboratory analysis,,,,,,,,,,,,,1.54
69,Journal of experimental & clinical cancer research : CR,,,,,,,,,,,,,5.64
70,Acta pharmacologica Sinica,,,,,,,,,,,,,4.72
71,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,,,,,,,,,,,,,0
72,Cytotherapy,,,,,,,,,,,,,4.21
73,Current pharmaceutical biotechnology,,,,,,,,,,,,,2.19
74,Experimental cell research,,,,,,,,,,,,,3.38
75,Biomarker research,,,,,,,,,,,,,4.86
76,RNA biology,,,,,,,,,,,,,5.35
77,Molecular carcinogenesis,,,,,,,,,,,,,3.825
78,The Journal of clinical investigation,,,,,,,,,,,,,11.86
79,International journal of molecular sciences,,,,,,,,,,,,,4.55
80,PeerJ,,,,,,,,,,,,,2.38
81,Frontiers in genetics,,,,,,,,,,,,,3.25
82,The Journal of biological chemistry,,,,,,,,,,,,,4.23
83,Skeletal muscle,,,,,,,,,,,,,3.5
84,Pediatric blood & cancer,,,,,,,,,,,,,2.35
85,European journal of gastroenterology & hepatology,,,,,,,,,,,,,2.19
86,Laboratory investigation; a journal of technical methods and pathology,,,,,,,,,,,,,3.68
87,British journal of cancer,,,,,,,,,,,,,5.79
88,Antioxidants & redox signaling,,,,,,,,,,,,,6.32
89,Molecular oncology,,,,,,,,,,,,,6.57
90,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,,,,,,,,,,,,,4.96
91,The international journal of biochemistry & cell biology,,,,,,,,,,,,,3.67
92,Nucleic acid therapeutics,,,,,,,,,,,,,7.03
93,Journal of biosciences,,,,,,,,,,,,,1.65
94,Frontiers in cell and developmental biology,,,,,,,,,,,,,5.18
95,Neuro-oncology,,,,,,,,,,,,,10.09
96,Neuroscience letters,,,,,,,,,,,,,2.3
97,Neuropharmacology,,,,,,,,,,,,,4.43
98,Cell biology international,,,,,,,,,,,,,2.51
99,Neural regeneration research,,,,,,,,,,,,,3.17
100,FEBS letters,,,,,,,,,,,,,3.05
101,Proceedings of the National Academy of Sciences of the United States of America,,,,,,,,,,,,,9.41
102,BMC research notes,,,,,,,,,,,,,0
103,Molecular cell,,,,,,,,,,,,,15.58
104,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",,,,,,,,,,,,,5.57
105,"Neoplasia (New York, N.Y.)",,,,,,,,,,,,,5.51
106,The Journal of neuroscience : the official journal of the Society for Neuroscience,,,,,,,,,,,,,5.67
107,Cancer metastasis reviews,,,,,,,,,,,,,6.67
108,Cell death and differentiation,,,,,,,,,,,,,10.71
109,Medicinal research reviews,,,,,,,,,,,,,9.7
110,"Genes, chromosomes & cancer",,,,,,,,,,,,,3.44
111,Cancer letters,,,,,,,,,,,,,7.36
112,Cancer cell,,,,,,,,,,,,,26.6
113,Journal of cellular and molecular medicine,,,,,,,,,,,,,4.43
114,Nature genetics,,,,,,,,,,,,,27.6
115,Translational oncology,,,,,,,,,,,,,3.56
116,Expert opinion on drug discovery,,,,,,,,,,,,,4.88
117,American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting,,,,,,,,,,,,,1.56
118,Theranostics,,,,,,,,,,,,,8.69
119,"Small (Weinheim an der Bergstrasse, Germany)",,,,,,,,,,,,,10.85
120,Clinical cancer research : an official journal of the American Association for Cancer Research,,,,,,,,,,,,,10.1
121,International journal of cancer,,,,,,,,,,,,,5.14
122,Nature,,,,,,,,,,,,,42.77
123,Scientific data,,,,,,,,,,,,,5.54
124,Biochemistry and biophysics reports,,,,,,,,,,,,,1.65
125,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,,,,,,,,,,,,,1.3
126,Trends in cancer,,,,,,,,,,,,,8.88
127,Gastroenterology,,,,,,,,,,,,,14.87
128,Bone research,,,,,,,,,,,,,3.53
129,"Hepatology (Baltimore, Md.)",,,,,,,,,,,,,14.67
130,BioMed research international,,,,,,,,,,,,,2.36
131,Journal of cancer research and therapeutics,,,,,,,,,,,,,1.35
132,Parasitology international,,,,,,,,,,,,,1.91
133,Pharmacogenomics,,,,,,,,,,,,,2.33
134,Asian Pacific journal of cancer prevention : APJCP,,,,,,,,,,,,,1.58
135,"European journal of cancer (Oxford, England : 1990)",,,,,,,,,,,,,7.27
136,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,,,,,,,,,,,,,0.19
137,Journal of cellular biochemistry,,,,,,,,,,,,,3.44
138,Biologicals : journal of the International Association of Biological Standardization,,,,,,,,,,,,,1.8
139,Genes & development,,,,,,,,,,,,,9.52
140,Molecular vision,,,,,,,,,,,,,2.21
141,Nature cell biology,,,,,,,,,,,,,20.04
142,Cancer science,,,,,,,,,,,,,4.96
143,Cellular and molecular life sciences : CMLS,,,,,,,,,,,,,6.49
144,Microvascular research,,,,,,,,,,,,,2.68
145,Acta medica Iranica,,,,,,,,,,,,,0.88
146,Bioinformatics and biology insights,,,,,,,,,,,,,0
147,Journal of molecular and cellular cardiology,,,,,,,,,,,,,4.13
148,TheScientificWorldJournal,,,,,,,,,,,,,1.625
149,Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology,,,,,,,,,,,,,2.49
150,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,,,,,,,,,,,,,0
151,Oral oncology,,,,,,,,,,,,,3.98
152,Head & neck,,,,,,,,,,,,,2.53
153,Chinese medical journal,,,,,,,,,,,,,1.51
154,Journal of B.U.ON. : official journal of the Balkan Union of Oncology,,,,,,,,,,,,,1.69
155,Oral diseases,,,,,,,,,,,,,2.61
156,Diagnostic pathology,,,,,,,,,,,,,2.19
157,Journal of the National Cancer Institute,,,,,,,,,,,,,9.7
158,"Cancer prevention research (Philadelphia, Pa.)",,,,,,,,,,,,,3.09
159,Journal of cancer research and clinical oncology,,,,,,,,,,,,,3.65
160,Journal of surgical oncology,,,,,,,,,,,,,1.46
161,"Clinical science (London, England : 1979)",,,,,,,,,,,,,5.12
162,Histopathology,,,,,,,,,,,,,3.62
163,Genes & cancer,,,,,,,,,,,,,0
164,Archives of gynecology and obstetrics,,,,,,,,,,,,,2.35
165,Cellular oncology (Dordrecht),,,,,,,,,,,,,5.3
166,Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery,,,,,,,,,,,,,0
167,Experimental dermatology,,,,,,,,,,,,,4.16
168,Experimental and clinical transplantation : official journal of the Middle East Society for Organ Transplantation,,,,,,,,,,,,,0.63
169,International journal of biological sciences,,,,,,,,,,,,,4.7
170,Current opinion in otolaryngology & head and neck surgery,,,,,,,,,,,,,1.6
171,Molecular cancer,,,,,,,,,,,,,16.95
172,Analytical chemistry,,,,,,,,,,,,,6.78
173,Expert review of gastroenterology & hepatology,,,,,,,,,,,,,3.65
174,Brazilian journal of otorhinolaryngology,,,,,,,,,,,,,1.4
